price,rating,brand,ram,storage,color,processor
69990.0,3.4,HP,16.0,512.0,Silver,Snapdragon
68699.0,3.0,HP,16.0,512.0,Silver,Intel
44999.0,4.0,Lenovo,8.0,512.0,Silver,AMD
42990.0,3.4,Acer,8.0,256.0,Silver,AMD
73990.0,4.8,Apple,8.0,256.0,Silver,Apple
73990.0,4.7,Apple,8.0,256.0,Silver,Apple
65990.0,4.1,ASUS,16.0,512.0,Blue,Intel
72990.0,3.9,DELL,16.0,1024.0,Silver,Intel
70990.0,3.6,Lenovo,16.0,512.0,Grey,Intel
87990.0,4.2,DELL,16.0,512.0,Silver,Intel
67990.0,4.0,ASUS,16.0,512.0,Silver,Intel
42990.0,4.2,Acer,16.0,512.0,Grey,AMD
35990.0,1.0,Acer,8.0,256.0,Silver,Intel
44990.0,4.2,HP,12.0,512.0,Silver,Intel
83490.0,4.8,Apple,8.0,512.0,Indigo,Apple
44990.0,4.1,Acer,8.0,256.0,Silver,AMD
83490.0,4.8,Apple,8.0,512.0,Silver,Apple
35670.0,3.4,Acer,4.0,256.0,Silver,Intel
29990.0,3.95,HP,4.0,512.0,Grey,MediaTek
47990.0,3.8,Acer,8.0,512.0,Silver,AMD
82990.0,4.2,ASUS,16.0,512.0,Silver,Intel
342490.0,4.6,Apple,24.0,2048.0,Silver,Apple
194990.0,4.8,Apple,24.0,1024.0,Starlight,Apple
73490.0,2.5,DELL,8.0,512.0,Black,Intel
51400.0,5.0,HP,5.0,512.0,Silver,Intel
69590.0,4.0,HP,16.0,512.0,Silver,AMD
40999.0,3.95,Acer,8.0,512.0,Grey,AMD
49990.0,3.9,Acer,8.0,512.0,Black,Intel
9999.0,2.8,JioBook,4.0,512.0,Blue,MediaTek
83990.0,3.9,HP,16.0,1024.0,Silver,Intel
69990.0,3.4,HP,16.0,512.0,Silver,Snapdragon
53990.0,2.0,DELL,8.0,512.0,Black,N/A
53990.0,2.0,DELL,8.0,512.0,Black,N/A
70990.0,3.6,Lenovo,16.0,512.0,Grey,Intel
28990.0,4.3,ASUS,4.0,64.0,Grey,MediaTek
50990.0,4.4,Lenovo,8.0,512.0,Grey,AMD
28990.0,4.3,ASUS,4.0,64.0,Grey,MediaTek
46990.0,3.3,Acer,8.0,512.0,Silver,AMD
49450.0,4.1,HP,8.0,512.0,Silver,AMD
84990.0,4.0,HP,16.0,1024.0,Silver,Snapdragon
58790.0,3.95,Lenovo,5.0,512.0,Grey,Intel
65990.0,3.9,HP,16.0,1024.0,Silver,Intel
95990.0,4.1,HP,6.0,512.0,Blue,AMD
87990.0,4.2,DELL,16.0,512.0,Silver,Intel
53990.0,4.6,Lenovo,8.0,512.0,Grey,Intel
45990.0,3.4,Acer,8.0,256.0,Silver,AMD
73490.0,2.5,DELL,8.0,512.0,Black,Intel
49990.0,3.9,Acer,8.0,512.0,Black,Intel
69990.0,3.4,HP,16.0,512.0,Silver,Snapdragon
32990.0,3.95,HP,4.0,512.0,Grey,MediaTek
49990.0,3.7,Acer,8.0,512.0,Silver,AMD
40999.0,3.95,Acer,8.0,512.0,Grey,AMD
28990.0,4.3,ASUS,4.0,64.0,Grey,MediaTek
69999.0,3.5,Lenovo,16.0,512.0,Grey,AMD
87890.0,4.2,Lenovo,24.0,1024.0,Grey,Intel
50990.0,4.4,Lenovo,8.0,512.0,Grey,AMD
72990.0,3.9,DELL,16.0,1024.0,Silver,Intel
55990.0,4.1,Lenovo,8.0,512.0,Grey,AMD
60950.0,5.0,Acer,16.0,512.0,Silver,Intel
70990.0,3.6,Lenovo,16.0,512.0,Grey,Intel
53990.0,2.0,DELL,8.0,512.0,Black,N/A
68700.0,5.0,Lenovo,5.0,512.0,Grey,Intel
68699.0,3.0,HP,16.0,512.0,Silver,Intel
109990.0,3.3,HP,6.0,512.0,Blue,AMD
42999.0,3.2,HP,8.0,512.0,Black,Intel
67400.0,3.9,HP,16.0,512.0,Silver,AMD
61000.0,4.2,Lenovo,16.0,512.0,Grey,AMD
77990.0,3.7,HP,16.0,512.0,Silver,Intel
48990.0,3.5,ASUS,8.0,512.0,Silver,AMD
32990.0,4.3,Primebook,8.0,512.0,Grey,MediaTek
98990.0,3.8,HP,4.0,512.0,Silver,Intel
85900.0,3.9,MSI,16.0,512.0,Grey,Intel
85940.0,4.5,Acer,6.0,512.0,Black,Intel
77990.0,3.7,HP,16.0,512.0,Silver,Intel
60160.0,4.1,HP,16.0,512.0,Silver,Intel
49990.0,3.9,Acer,8.0,512.0,Black,Intel
40999.0,3.95,Acer,8.0,512.0,Grey,AMD
67999.0,4.2,Lenovo,16.0,512.0,Grey,AMD
24990.0,3.7,ASUS,4.0,64.0,Blue,MediaTek
73490.0,2.5,DELL,8.0,512.0,Black,Intel
69990.0,3.4,HP,16.0,512.0,Silver,Snapdragon
32990.0,4.3,Primebook,8.0,512.0,Grey,MediaTek
48990.0,3.5,ASUS,8.0,512.0,Silver,AMD
342490.0,4.6,Apple,24.0,2048.0,Silver,Apple
28990.0,4.3,ASUS,4.0,64.0,Grey,MediaTek
52990.0,3.95,Lenovo,5.0,512.0,Grey,AMD
25640.0,5.0,MaxBook,8.0,256.0,Black,N/A
132990.0,4.0,Lenovo,6.0,512.0,Grey,AMD
44990.0,5.0,Acer,8.0,256.0,Black,AMD
98990.0,3.7,Lenovo,16.0,512.0,Grey,Intel
63990.0,4.1,ASUS,16.0,512.0,Silver,Snapdragon
84990.0,2.8,Acer,32.0,1024.0,Black,AMD
66749.0,4.7,HP,8.0,512.0,Silver,Intel
69990.0,3.4,HP,16.0,512.0,Silver,Snapdragon
91700.0,3.3,Lenovo,16.0,512.0,Black,AMD
69990.0,3.4,HP,16.0,512.0,Silver,Snapdragon
229990.0,5.0,HP,8.0,1024.0,Blue,AMD
49990.0,3.9,Acer,8.0,512.0,Black,Intel
56690.0,3.6,Lenovo,16.0,512.0,Grey,AMD
249990.0,3.7,ASUS,8.0,512.0,Grey,Intel
273490.0,5.0,Lenovo,8.0,1024.0,White,Intel
40999.0,3.95,Acer,8.0,512.0,Grey,AMD
91700.0,3.3,Lenovo,16.0,512.0,Black,AMD
39850.0,3.3,Acer,12.0,512.0,Silver,Intel
73490.0,2.5,DELL,8.0,512.0,Black,Intel
70990.0,3.6,Lenovo,16.0,512.0,Grey,Intel
48990.0,4.3,Acer,8.0,256.0,Grey,Intel
84990.0,3.7,Lenovo,16.0,512.0,Blue,Intel
151890.0,4.2,Lenovo,8.0,1024.0,Grey,Intel
53990.0,2.0,DELL,8.0,512.0,Black,N/A
82990.0,3.7,DELL,16.0,512.0,Silver,Intel
